$SETUP1;Time;;;;;;;;;;;;;;;;;
$SETUP2;sec;;;;;;;;;;;;;;;;;
$D;24,43;;;;;;;;;;0,0;;;;;;0,0;
$D;24,53;;;;;;;;;;;0,2;;;;;0,0;
$D;24,64;;;;;;;;;;;;1,4;;;;0,0;
$D;24,76;5,0;;;;;;;;;;;;;;;0,0;
$D;24,85;;100,0;;;;;;;;;;;;;;0,0;
$D;24,97;;;12,4;;;;;;;;;;;;;0,0;
$D;25,00;;;;99,0;;;;;;;;;;;;0,0;
$D;25,12;;;;;0,1;;;;;;;;;;;0,0;
$D;25,23;;;;;;0,0;;;;;;;;;;0,0;
$D;25,33;;;;;;;-1,0;;;;;;;;;0,0;
$D;25,44;;;;;;;;0,0;;;;;;;;0,0;
$D;25,56;;;;;;;;;2,0;;;;;;;0,0;
$D;25,65;;;;;;;;;;0,0;;;;;;0,0;
$D;25,74;;;;;;;;;;;0,2;;;;;0,0;
$D;25,86;;;;;;;;;;;;1,4;;;;0,0;
$D;25,97;5,0;;;;;;;;;;;;;;;0,0;
$D;26,06;;100,0;;;;;;;;;;;;;;0,0;
$D;26,18;;;12,4;;;;;;;;;;;;;0,0;
$D;26,27;;;;99,0;;;;;;;;;;;;0,0;
$D;26,39;;;;;0,1;;;;;;;;;;;0,0;
$D;26,48;;;;;;0,0;;;;;;;;;;0,0;
$D;26,60;;;;;;;0,0;;;;;;;;;0,0;
$D;26,65;;;;;;;;0,0;;;;;;;;0,0;
$D;26,77;;;;;;;;;2,0;;;;;;;0,0;
$D;26,86;;;;;;;;;;0,0;;;;;;0,0;
$D;26,99;;;;;;;;;;;0,3;;;;;0,1;
$D;27,07;;;;;;;;;;;;1,4;;;;0,1;
$D;27,19;5,0;;;;;;;;;;;;;;;0,1;
$D;27,29;;100,0;;;;;;;;;;;;;;0,1;
$D;27,40;;;12,4;;;;;;;;;;;;;0,1;
$D;27,52;;;;99,0;;;;;;;;;;;;0,1;
$D;27,61;;;;;0,1;;;;;;;;;;;0,0;
$D;27,71;;;;;;0,0;;;;;;;;;;0,0;
$D;27,82;;;;;;;0,0;;;;;;;;;0,0;
$D;27,93;;;;;;;;0,0;;;;;;;;0,0;
$D;28,03;;;;;;;;;2,0;;;;;;;0,0;
$D;28,15;;;;;;;;;;0,0;;;;;;-0,1;
$D;28,24;;;;;;;;;;;0,3;;;;;-0,1;
$D;28,30;;;;;;;;;;;;1,4;;;;-0,1;
$D;28,41;5,0;;;;;;;;;;;;;;;0,0;
$D;28,51;;100,0;;;;;;;;;;;;;;0,0;
$D;28,63;;;12,4;;;;;;;;;;;;;0,0;
$D;28,72;;;;99,0;;;;;;;;;;;;0,0;
$D;28,85;;;;;0,1;;;;;;;;;;;0,0;
$D;28,96;;;;;;0,0;;;;;;;;;;0,0;
$D;29,06;;;;;;;0,0;;;;;;;;;0,0;
$D;29,15;;;;;;;;0,0;;;;;;;;0,0;
$D;29,25;;;;;;;;;2,0;;;;;;;0,0;
$D;29,37;;;;;;;;;;0,0;;;;;;0,0;
$D;29,47;;;;;;;;;;;0,1;;;;;0,0;
$D;29,58;;;;;;;;;;;;1,4;;;;0,0;
$D;29,67;5,0;;;;;;;;;;;;;;;0,0;
$D;29,79;;100,0;;;;;;;;;;;;;;0,0;
$D;29,90;;;12,4;;;;;;;;;;;;;0,0;
$D;29,95;;;;99,0;;;;;;;;;;;;0,0;
$D;30,07;;;;;0,1;;;;;;;;;;;0,0;
$D;30,17;;;;;;0,0;;;;;;;;;;0,1;
$D;30,26;;;;;;;0,0;;;;;;;;;0,1;
$D;30,38;;;;;;;;0,0;;;;;;;;0,1;
$D;30,48;;;;;;;;;2,0;;;;;;;0,1;
$D;30,60;;;;;;;;;;0,0;;;;;;0,0;
$D;30,68;;;;;;;;;;;0,1;;;;;0,0;
$D;30,81;;;;;;;;;;;;1,4;;;;0,0;
$D;30,89;5,0;;;;;;;;;;;;;;;0,0;
$D;31,02;;100,0;;;;;;;;;;;;;;0,0;
$D;31,12;;;12,4;;;;;;;;;;;;;0,0;
$D;31,21;;;;99,0;;;;;;;;;;;;0,0;
$D;31,33;;;;;0,1;;;;;;;;;;;0,0;
$D;31,42;;;;;;0,0;;;;;;;;;;0,0;
$D;31,54;;;;;;;0,0;;;;;;;;;0,0;
$D;31,60;;;;;;;;0,0;;;;;;;;0,0;
$D;31,71;;;;;;;;;2,0;;;;;;;0,0;
$D;31,82;;;;;;;;;;0,0;;;;;;0,0;
$D;31,91;;;;;;;;;;;0,0;;;;;0,0;
$D;32,02;;;;;;;;;;;;1,4;;;;0,0;
$D;32,13;5,0;;;;;;;;;;;;;;;0,0;
$D;32,25;;100,0;;;;;;;;;;;;;;0,0;
$D;32,34;;;12,4;;;;;;;;;;;;;0,0;
$D;32,43;;;;99,0;;;;;;;;;;;;0,0;
$D;32,55;;;;;0,1;;;;;;;;;;;0,0;
$D;32,65;;;;;;0,0;;;;;;;;;;0,0;
$D;32,77;;;;;;;0,0;;;;;;;;;0,0;
$D;32,86;;;;;;;;0,0;;;;;;;;0,0;
$D;32,98;;;;;;;;;2,0;;;;;;;0,0;
$D;33,07;;;;;;;;;;0,0;;;;;;0,0;
$D;33,19;;;;;;;;;;;0,1;;;;;0,0;
$D;33,25;;;;;;;;;;;;1,4;;;;0,0;
$D;33,37;5,0;;;;;;;;;;;;;;;0,0;
$D;33,45;;100,0;;;;;;;;;;;;;;0,0;
$D;33,58;;;12,4;;;;;;;;;;;;;0,0;
$D;33,68;;;;99,0;;;;;;;;;;;;-0,1;
$D;33,78;;;;;0,1;;;;;;;;;;;-0,1;
$D;33,88;;;;;;0,0;;;;;;;;;;-0,1;
$D;33,99;;;;;;;0,0;;;;;;;;;-0,1;
$D;34,08;;;;;;;;0,0;;;;;;;;-0,1;
$D;34,19;;;;;;;;;2,0;;;;;;;-0,1;
$D;34,32;;;;;;;;;;0,0;;;;;;0,0;
