;;;;;;;;;;;;;;;;;0;0;0;1;1;3;3;3;6;7;8;8;8;8;8;8;16;16;16;19;19;21;22;23;24;25;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;VARIO F1712;VARIO F1712;CURRENT F1678;CURRENT F1678;CURRENT F1678;TEMPERATURE SENSOR;TEMPERATURE F1713 ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;CURRENT F1678;CURRENT F1678;CURRENT F1678;VARIO F1712;VARIO F1712;RPM SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;ALTITUDE;VARIOMETER;CURRENT;VOLTAGE;CAPACITY;TEMPERATURE;TEMPERATURE;DISTANCE;SPEED;ALTITUDE;VARIOMETER;LATITUDE;LONGITUDE;CURRENT;VOLTAGE;CAPACITY;ALTITUDE;VARIOMETER;ROTATION;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;
38611;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  43;   7;16382;  0;-6382;   0,0;N 46:36.9564;E 13:56.4987;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  36;
39654;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  43;   7;16382;  0;    1;   0,0;N 46:36.9564;E 13:56.4987;   0,0; 25,0;     0;    1;   0,0;     0;   1;  -1;  33;  38;
40696;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  34;   7;    5;  1;-6382;   0,0;N 46:36.9572;E 13:56.4985;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  38;
41739;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  32;   7;16382;  0;-6382;   0,0;N 46:36.9572;E 13:56.4984;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  38;
42782;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  31;   7;16382;  0;-6382;   0,0;N 46:36.9572;E 13:56.4982;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  38;
43826;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  28;   7;16382;  0;-6382;   0,0;N 46:36.9572;E 13:56.4980;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  37;
44870;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  28;   7;16382;  0;-6382;   0,0;N 46:36.9572;E 13:56.4980;   0,0; 25,0;     0;    1;   0,0;     0;   1;  -1;  33;  38;
45911;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  26;   7;16382;  0;-6382;   0,0;N 46:36.9572;E 13:56.4979;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  37;
46952;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  22;   7;16382;  0;-6382;   0,0;N 46:36.9572;E 13:56.4977;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  37;
47994;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  19;   7;16382;  0;-6382;   0,0;N 46:36.9572;E 13:56.4976;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  36;
49038;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  19;   7;16382;  0;-6382;   0,0;N 46:36.9572;E 13:56.4974;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  37;
50081;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  15;   7;16382;  0;    1;   0,0;N 46:36.9572;E 13:56.4973;   0,0; 25,0;     0;    1;   0,0;     0;   1;  -1;  33;  38;
51125;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  11;   7;    6;  0;    1;   0,0;N 46:36.9576;E 13:56.4972;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  37;
52168;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;   7;   7;    6;  0;    1;   0,0;N 46:36.9576;E 13:56.4969;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  37;
53210;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;   7;   7;    6;  0;    1;   0,0;N 46:36.9576;E 13:56.4969;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  37;
