# Funtana
000000000;4310520667;0;MUI-75;
000000000;4310520667;1;Voltage;V
000000000;4310520667;2;Current;A
000000000;4310520667;3;Capacity;mAh
000000000;4310520667;4;Run time;s
000213013;4310520667;3;4;0;206
000213013;4310520667;4;5;0;18
000213217;4310520667;1;1;1;395
000213217;4310520667;2;1;1;127
000213221;4310520667;3;4;0;207
000213221;4310520667;4;5;0;18
000213436;4310520667;1;1;1;395
000213436;4310520667;2;1;1;126
000213436;4310520667;3;4;0;208
000213436;4310520667;4;5;0;18
000213656;4310520667;1;1;1;395
000213656;4310520667;2;1;1;127
000213656;4310520667;3;4;0;209
000213656;4310520667;4;5;0;18
000213876;4310520667;1;1;1;394
000213876;4310520667;2;1;1;129
000213876;4310520667;3;4;0;210
000213876;4310520667;4;5;0;19
000214093;4310520667;1;1;1;394
000214093;4310520667;2;1;1;130
000214093;4310520667;3;4;0;210
000214098;4310520667;4;5;0;19
000214296;4310520667;1;1;1;387
000214296;4310520667;2;1;1;224
000214296;4310520667;3;4;0;212
000214296;4310520667;4;5;0;19
000214516;4310520667;1;1;1;388
000214516;4310520667;2;1;1;198
000214516;4310520667;3;4;0;213
000214516;4310520667;4;5;0;19
000214736;4310520667;1;1;1;388
000214736;4310520667;2;1;1;199
000214736;4310520667;3;4;0;214
000214736;4310520667;4;5;0;19
000214933;4310520667;1;1;1;387
000214933;4310520667;2;1;1;205
000214933;4310520667;3;4;0;215
000214937;4310520667;4;5;0;20
000215183;4310520667;1;1;1;386
000215183;4310520667;2;1;1;221
000215183;4310520667;3;4;0;217
000215183;4310520667;4;5;0;20
000215376;4310520667;1;1;1;385
000215376;4310520667;2;1;1;234
000215376;4310520667;3;4;0;218
000215376;4310520667;4;5;0;20
000215576;4310520667;1;1;1;385
000215576;4310520667;2;1;1;217
000215576;4310520667;3;4;0;219
000215576;4310520667;4;5;0;20
000215796;4310520667;1;1;1;385
000215796;4310520667;2;1;1;220
000215796;4310520667;3;4;0;221
000215796;4310520667;4;5;0;20
000216023;4310520667;1;1;1;384
000216023;4310520667;2;1;1;229
000216023;4310520667;3;4;0;222
000216023;4310520667;4;5;0;21
000216216;4310520667;1;1;1;385
000216216;4310520667;2;1;1;229
000216216;4310520667;3;4;0;223
000216216;4310520667;4;5;0;21
000216556;4310520667;1;1;1;385
000216556;4310520667;2;1;1;228
000216556;4310520667;3;4;0;225
000216556;4310520667;4;5;0;21
000216756;4310520667;1;1;1;385
000216756;4310520667;2;1;1;223
000216756;4310520667;3;4;0;227
000216756;4310520667;4;5;0;21
000216973;4310520667;1;1;1;385
000216976;4310520667;2;1;1;222
000216977;4310520667;3;4;0;228
000216977;4310520667;4;5;0;22
000217223;4310520667;1;1;1;384
000217223;4310520667;2;1;1;223
000217223;4310520667;3;4;0;230
000217223;4310520667;4;5;0;22
000217416;4310520667;1;1;1;385
000217416;4310520667;2;1;1;220
000217416;4310520667;3;4;0;231
000217416;4310520667;4;5;0;22
000217636;4310520667;1;1;1;385
000217636;4310520667;2;1;1;221
000217636;4310520667;3;4;0;232
000217636;4310520667;4;5;0;22
000217856;4310520667;1;1;1;385
000217860;4310520667;2;1;1;202
000217860;4310520667;3;4;0;234
000217860;4310520667;4;5;0;22
000218063;4310520667;1;1;1;384
000218063;4310520667;2;1;1;219
000218063;4310520667;3;4;0;235
000218063;4310520667;4;5;0;23
000218293;4310520667;1;1;1;385
000218293;4310520667;2;1;1;214
000218293;4310520667;3;4;0;236
000218293;4310520667;4;5;0;23
000218496;4310520667;1;1;1;384
000218496;4310520667;2;1;1;214
000218496;4310520667;3;4;0;238
000218496;4310520667;4;5;0;23
000218534;4310520667;1;1;1;384
000218534;4310520667;2;1;1;214
000218537;4310520667;3;4;0;238
000218537;4310520667;4;5;0;23
000218696;4310520667;1;1;1;385
000218696;4310520667;2;1;1;214
000218696;4310520667;3;4;0;239
000218696;4310520667;4;5;0;23
000218916;4310520667;1;1;1;379
