# Ariane V10 1
000000000;4264123810;0;Rx;
000000000;4264123810;1;U Rx;V
000000000;4202000001;0;LinkVario;
000000000;4202000001;1;Hoehe;m
000000000;4202000001;2;Vario;m/s
000000000;4202000001;3;IntegVario;m/s
000000000;4202000001;4;Motorspann;V
000000000;4202000001;5;Motorstrom;A
000000000;4202000001;6;Kapazitaet;Ah
000000000;4202000001;7;Temperatur;°C
000000000;4202000001;8;PitotSpeed;m/s
000000000;4202000001;9;UB Vario;V
000000000;4202000001;10;Longitude;°
000000000;4202000001;11;Latitude;°
000000000;4202000001;12;GPS-Hoehe;m
000000000;4202000001;13;GPS-Kurs;°
000000000;4202000001;14;GPS-Speed;m/s
000000000;4202000001;15;Entfernung;m
000000000;4202000001;16;Modell-Pos;°
001065176;4202000001;5;1;1;0
001065216;4264123810;1;1;2;492
001065316;4202000001;2;1;2;1071
001065316;4202000001;6;1;2;16
001065316;4202000001;7;1;1;156
001065316;4202000001;8;1;0;7
001065316;4202000001;9;1;2;504
001065656;4202000001;2;1;2;1071
001065656;4202000001;10;9;1;616567
001065658;4202000001;11;9;0;3123147
001065658;4202000001;14;1;0;11
001065736;4264123810;1;1;2;492
001065936;4202000001;1;1;1;2463
001065936;4202000001;2;1;2;1059
001065936;4202000001;3;1;2;1898
001065936;4202000001;4;1;1;156
001065936;4202000001;5;1;1;0
001066176;4202000001;2;1;2;997
001066176;4202000001;10;9;1;616567
001066176;4202000001;11;9;0;3123147
001066176;4202000001;14;1;0;11
001066256;4264123810;1;1;2;492
001066316;4202000001;2;1;2;951
001066316;4202000001;12;1;0;695
001066316;4202000001;13;1;0;27
001066318;4202000001;15;1;0;168
001066318;4202000001;16;1;0;35
001066456;4202000001;1;1;1;2476
001066456;4202000001;2;1;2;906
001066456;4202000001;3;1;2;1898
001066456;4202000001;4;1;1;157
001066456;4202000001;5;1;1;0
001066636;4202000001;2;1;2;837
001066636;4202000001;6;1;2;16
001066636;4202000001;7;1;1;158
001066636;4202000001;8;1;0;5
001066636;4202000001;9;1;2;503
001066776;4264123810;1;1;2;492
001066776;4202000001;2;1;2;792
001066776;4202000001;10;9;1;616571
001066776;4202000001;11;9;0;3123151
001066778;4202000001;14;1;0;9
001067056;4202000001;1;1;1;2474
001067056;4202000001;2;1;2;686
001067056;4202000001;3;1;2;1898
001067056;4202000001;4;1;1;157
001067056;4202000001;5;1;1;0
001067176;4202000001;2;1;2;641
001067176;4202000001;6;1;2;16
001067176;4202000001;7;1;1;163
001067176;4202000001;8;1;0;3
001067176;4202000001;9;1;2;503
001067296;4264123810;1;1;2;492
001067316;4202000001;2;1;2;596
001067316;4202000001;10;9;1;616571
001067316;4202000001;11;9;0;3123151
001067316;4202000001;14;1;0;9
001067436;4202000001;2;1;2;553
001067436;4202000001;12;1;0;693
001067436;4202000001;13;1;0;32
001067436;4202000001;15;1;0;176
001067436;4202000001;16;1;0;35
001067656;4202000001;1;1;1;2465
001067656;4202000001;2;1;2;482
001067656;4202000001;3;1;2;1898
001067656;4202000001;4;1;1;157
001067656;4202000001;5;1;1;0
001067796;4202000001;2;1;2;447
001067796;4202000001;6;1;2;16
001067796;4202000001;7;1;1;155
001067796;4202000001;8;1;0;1
001067796;4202000001;9;1;2;503
001067816;4264123810;1;1;2;492
001068056;4202000001;2;1;2;385
001068058;4202000001;10;9;1;616575
001068058;4202000001;11;9;0;3123155
001068058;4202000001;14;1;0;9
001068176;4202000001;2;1;2;360
001068176;4202000001;12;1;0;694
001068176;4202000001;13;1;0;36
001068176;4202000001;15;1;0;185
001068176;4202000001;16;1;0;35
001068316;4202000001;1;1;1;2453
001068316;4202000001;2;1;2;333
001068316;4202000001;3;1;2;1218
001068316;4202000001;4;1;1;157
001068316;4202000001;5;1;1;0
001068336;4264123810;1;1;2;492
001068456;4202000001;2;1;2;311
001068456;4202000001;6;1;2;16
001068458;4202000001;7;1;1;154
001068458;4202000001;8;1;0;0
001068458;4202000001;9;1;2;504
001068856;4264123810;1;1;2;492
001068916;4202000001;1;1;1;2449
001068916;4202000001;2;1;2;231
001068916;4202000001;3;1;2;1209
001068916;4202000001;4;1;1;158
001068916;4202000001;5;1;1;0
001069058;4202000001;2;1;2;210
001069058;4202000001;6;1;2;16
001069058;4202000001;7;1;1;155
001069059;4202000001;8;1;0;0
001069059;4202000001;9;1;2;504
001069176;4202000001;2;1;2;189
001069176;4202000001;10;9;1;616580
001069176;4202000001;11;9;0;3123159
001069186;4202000001;14;1;0;10
001069296;4202000001;2;1;2;169
001069296;4202000001;12;1;0;693
001069296;4202000001;13;1;0;47
001069296;4202000001;15;1;0;194
001069296;4202000001;16;1;0;35
001069376;4264123810;1;1;2;492
001069418;4202000001;1;1;1;2449
001069418;4202000001;2;1;2;151
001069418;4202000001;3;1;2;1209
001069418;4202000001;4;1;1;158
001069418;4202000001;5;1;1;0
001069656;4202000001;2;1;2;113
001069656;4202000001;6;1;2;16
001069656;4202000001;7;1;1;157
001069656;4202000001;8;1;0;0
001069658;4202000001;9;1;2;503
001069796;4202000001;2;1;2;97
001069796;4202000001;10;9;1;616587
001069796;4202000001;11;9;0;3123162
001069796;4202000001;14;1;0;10
001069896;4264123810;1;1;2;492
001069936;4202000001;2;1;2;80
001069936;4202000001;12;1;0;691
001069936;4202000001;13;1;0;56
001069936;4202000001;15;1;0;204
001069936;4202000001;16;1;0;36
001070056;4202000001;1;1;1;2439
001070056;4202000001;2;1;2;66
001070056;4202000001;3;1;2;1203
001070056;4202000001;4;1;1;158
001070056;4202000001;5;1;1;0
001070176;4202000001;2;1;2;53
001070176;4202000001;6;1;2;16
001070176;4202000001;7;1;1;157
001070176;4202000001;8;1;0;0
001070176;4202000001;9;1;2;503
001070416;4264123810;1;1;2;492
001070436;4202000001;2;1;2;25
001070436;4202000001;10;9;1;616587
001070436;4202000001;11;9;0;3123162
001070436;4202000001;14;1;0;10
001070776;4202000001;1;1;1;2423
001070776;4202000001;2;1;2;4294967294
001070776;4202000001;3;1;2;1203
001070776;4202000001;4;1;1;158
001070776;4202000001;5;1;1;0
001070936;4264123810;1;1;2;492
001070936;4202000001;2;1;2;4294967285
001070938;4202000001;6;1;2;16
001070938;4202000001;7;1;1;156
001070938;4202000001;8;1;0;0
001070938;4202000001;9;1;2;503
001071056;4202000001;2;1;2;4294967279
001071056;4202000001;10;9;1;616595
001071056;4202000001;11;9;0;3123165
001071056;4202000001;14;1;0;11
001071196;4202000001;2;1;2;4294967274
001071196;4202000001;12;1;0;689
001071196;4202000001;13;1;0;66
001071196;4202000001;15;1;0;214
001071196;4202000001;16;1;0;37
001071457;4202000001;2;1;2;4294967272
001071457;4202000001;6;1;2;16
001071460;4202000001;7;1;1;157
001071460;4202000001;8;1;0;0
001071460;4202000001;9;1;2;503
001071460;4264123810;1;1;2;492
001071656;4202000001;2;1;2;4294967273
001071656;4202000001;10;9;1;616605
001071656;4202000001;11;9;0;3123167
001071656;4202000001;14;1;0;13
001071776;4202000001;2;1;2;4294967275
001071776;4202000001;12;1;0;687
001071776;4202000001;13;1;0;76
001071776;4202000001;15;1;0;225
001071776;4202000001;16;1;0;39
001071916;4202000001;1;1;1;2406
