;;;;;;;;;;;;;;;;;0;0;0;1;1;1;4;4;7;8;8;8;8;8;8;16;17;18;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;CURRENT F1678;CURRENT F1678;CURRENT F1678;VARIO F1712;VARIO F1712;TEMPERATURE SENSOR;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;CURRENT;VOLTAGE;CAPACITY;ALTITUDE;VARIOMETER;TEMPERATURE;DISTANCE;SPEED;ALTITUDE;VARIOMETER;LATITUDE;LONGITUDE;TEMPERATURE;TEMPERATURE;TEMPERATURE;
41352;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;   10;  1;    0;   0,0;N 46:46.3673;E 13:49.8938;  -1;   0;   0;
42382;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    1;   0,0; 334;   10;  2;    0;   0,0;N 46:46.3673;E 13:49.8940;  -1;   0;   0;
43414;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0;   1;   10;  1;    0;  +0,2;N 46:46.3673;E 13:49.8942;  -1;   0;   0;
44446;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0; 334;   10;  1;    1;  +0,2;N 46:46.3675;E 13:49.8946;  -1;   0;   0;
45480;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0; 334;   10;  1;    1;  +0,1;N 46:46.3676;E 13:49.8950;  -1;   0;   0;
46512;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0; 334;   10;  0;    0;  -0,2;N 46:46.3676;E 13:49.8952;  -1;   0;   0;
47544;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0;   1;   10;  0;    0;  -0,1;N 46:46.3676;E 13:49.8952;  -1;   0;   0;
48574;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0; 334;   10;  0;    0;   0,0;N 46:46.3676;E 13:49.8952;  -1;   0;   0;
49611;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0; 334;   10;  0;    0;   0,0;N 46:46.3676;E 13:49.8952;  -1;   0;   0;
50642;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0; 334;   10;  0;    0;  +0,1;N 46:46.3676;E 13:49.8952;  -1;   0;   0;
