Date,Time,GSpd(kmh),RSSI(dB),RxBt(V),GPS,GAlt(m),Date,Dist(m),Rud,Ele,Thr,Ail,S1,S2,S3,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-08-18,12:54:08.120,0.0,95,5.4,42.736568 11.995696,3.6,2019-08-18 10:54:02,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:10.120,-0.1,98,5.4,42.736568 11.995698,3.6,2019-08-18 10:54:02,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:12.120,0.0,96,5.4,42.736570 11.995698,3.5,2019-08-18 10:54:12,3,-2,1,-1024,-2,3,-20,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:14.120,0.0,93,5.4,42.736570 11.995698,3.4,2019-08-18 10:54:12,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:16.120,0.1,101,5.4,42.736568 11.995698,3.3,2019-08-18 10:54:12,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:18.120,0.2,99,5.4,42.736571 11.995700,3.2,2019-08-18 10:54:12,3,-2,1,-1024,-2,3,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:20.120,1.2,97,5.4,42.736573 11.995700,3.2,2019-08-18 10:54:12,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:22.120,0.1,99,5.4,42.736575 11.995700,3.0,2019-08-18 10:54:12,4,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:24.120,0.1,97,5.4,42.736578 11.995705,2.4,2019-08-18 10:54:22,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:26.120,0.2,99,5.4,42.736583 11.995710,2.2,2019-08-18 10:54:22,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:28.120,0.0,86,5.4,42.736585 11.995710,2.2,2019-08-18 10:54:22,4,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:30.120,0.0,96,5.4,42.736581 11.995711,2.3,2019-08-18 10:54:22,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:32.120,-0.1,97,5.4,42.736583 11.995713,2.0,2019-08-18 10:54:33,3,-2,1,-1024,-2,2,-20,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:34.120,-0.1,97,5.4,42.736585 11.995716,1.8,2019-08-18 10:54:33,4,-2,1,-1024,-2,2,-20,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:36.120,0.1,89,5.4,42.736585 11.995718,1.6,2019-08-18 10:54:33,4,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:38.120,0.0,98,5.4,42.736583 11.995718,1.4,2019-08-18 10:54:33,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:40.120,0.1,101,5.4,42.736583 11.995718,1.6,2019-08-18 10:54:33,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:42.120,0.2,96,5.4,42.736580 11.995718,1.6,2019-08-18 10:54:43,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:44.120,-0.1,99,5.4,42.736580 11.995718,1.6,2019-08-18 10:54:43,3,-2,1,-1024,-2,2,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:54:46.120,0.2,99,5.4,42.736576 11.995718,1.6,2019-08-18 10:54:43,3,-2,1,-1024,-2,2,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:54:48.120,-0.1,99,5.4,42.736576 11.995720,1.4,2019-08-18 10:54:43,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:54:50.120,0.2,93,5.4,42.736578 11.995720,1.2,2019-08-18 10:54:43,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:54:52.120,0.2,97,5.4,42.736580 11.995721,0.9,2019-08-18 10:54:53,3,-2,1,-1024,-2,2,-20,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:54:54.120,-0.1,91,5.4,42.736580 11.995723,0.9,2019-08-18 10:54:53,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:54:56.120,0.0,97,5.4,42.736580 11.995723,0.8,2019-08-18 10:54:53,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:54:58.120,0.3,99,5.4,42.736580 11.995723,0.6,2019-08-18 10:54:53,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:00.120,0.0,97,5.4,42.736578 11.995721,0.7,2019-08-18 10:54:53,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:02.120,-0.1,95,5.4,42.736578 11.995721,0.7,2019-08-18 10:55:03,3,-2,1,-1024,-2,2,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:04.120,0.1,98,5.4,42.736575 11.995721,0.7,2019-08-18 10:55:03,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:06.120,0.0,91,5.4,42.736576 11.995720,0.5,2019-08-18 10:55:03,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:08.120,-0.1,95,5.4,42.736580 11.995721,0.1,2019-08-18 10:55:03,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:10.120,0.0,99,5.4,42.736580 11.995723,-0.2,2019-08-18 10:55:03,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:12.120,-0.1,99,5.4,42.736581 11.995723,-0.5,2019-08-18 10:55:12,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:14.120,0.0,95,5.4,42.736585 11.995723,-0.7,2019-08-18 10:55:12,4,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:16.120,-0.1,97,5.4,42.736585 11.995723,-0.9,2019-08-18 10:55:12,4,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:18.120,0.0,94,5.4,42.736586 11.995723,-0.9,2019-08-18 10:55:12,4,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:20.120,-0.1,98,5.4,42.736586 11.995723,-0.8,2019-08-18 10:55:12,4,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:22.120,-0.1,95,5.4,42.736588 11.995725,-0.9,2019-08-18 10:55:22,4,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:24.120,-0.1,98,5.4,42.736588 11.995725,-0.9,2019-08-18 10:55:22,4,-2,1,-1024,-2,2,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:26.120,-0.1,100,5.4,42.736588 11.995725,-1.0,2019-08-18 10:55:22,4,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:28.120,-0.1,101,5.4,42.736588 11.995725,-0.9,2019-08-18 10:55:22,4,-2,1,-1024,-2,2,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:30.120,-0.1,101,5.4,42.736586 11.995725,-0.9,2019-08-18 10:55:22,4,-1,1,-1024,-2,2,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:32.120,0.0,100,5.4,42.736586 11.995725,-0.8,2019-08-18 10:55:22,4,-1,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:34.120,0.0,92,5.4,42.736585 11.995726,-0.9,2019-08-18 10:55:33,4,-1,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:36.120,-0.1,96,5.4,42.736585 11.995726,-0.9,2019-08-18 10:55:33,4,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:38.120,0.0,91,5.4,42.736583 11.995726,-0.9,2019-08-18 10:55:33,3,-1,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:40.120,0.0,98,5.4,42.736583 11.995726,-0.9,2019-08-18 10:55:33,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:42.120,-0.1,93,5.4,42.736583 11.995726,-0.8,2019-08-18 10:55:33,3,-2,1,-1024,-2,2,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
2019-08-18,12:55:44.120,-0.1,91,5.4,42.736583 11.995726,-0.6,2019-08-18 10:55:42,3,-2,1,-1024,-2,2,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.1
